,NGH_Name,NGH_Number,Descriptive Name,Latitude,Longitude,Violation_Type,Sum_Occurrences,Air Temp. Avg. Min. (°C),Air Temp. Avg. Max. (°C),Edu_Preschool,Edu_Kindergarten ,Edu_Gr.7 - Gr.9,Edu_Gr.10 - Gr.12,Edu_Post Secondar,Homemaker,Employedage0-30,Employed 30+ ,Unemployed,Retired,Permanently U,Employment_No Response,"Income_Less than $30,","Income_$30,000 to les","Income_$60,000 to les","Income_$100,000 to le","Income_$125,000 to le","Income_$150,000 to le","Income_$200,000 to le","Income_$250,000 or mo",Income_No Response,DT_Year,DT_Month
0,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Assault,4,11.85225806,23.67677419,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,July
1,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Theft From Vehicle,1,4.671,17.31833333,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,September
2,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Theft From Vehicle,1,-14.77387097,-4.023870968,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,January
3,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Assault,1,-2.935666667,4.833,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,November
4,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Assault,1,9.963333333,22.75533333,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,June
5,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Theft Of Vehicle,1,4.671,17.31833333,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,September
6,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Theft Of Vehicle,1,-2.935666667,4.833,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,November
7,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Break and Enter,1,10.25193548,22.81290323,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,August
8,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Break and Enter,1,-2.821612903,6.589354839,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,March
9,ABBOTTSFIELD,2010,Abbottsfield,53.574143,-113.388758,Break and Enter,1,-14.77387097,-4.023870968,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0,2016,January
