,NGH_Name,Assault,Break and Enter,Homicide,Robbery,Sexual Assaults,Theft From Vehicle,Theft Of Vehicle,Theft Over $5000,Latitude,Longitude,Preschool,Kindergarten,Gr7-9,Gr10-12,Post-Secondary,Homemaker,Employed 0-30,Employed 30+,Unemployed,Retired,Permanently Unemployed,Employment_No Response,Income_Less than $30K,Income_30K to less than 60K,Income_60K to less than 100K,Income_100K to less than 125K,Income_125K to less than 150K,Income_150K to less than 200K,Income_200K to less than 250K,Income_250K or more,Income_No Response
0,ABBOTTSFIELD,35,8,0,8,4,16,6,0,53.57414300000001,-113.38875800000001,159.0,189.0,64.0,52.0,43.0,83.0,102.0,453.0,135.0,80.0,48.0,499.0,206.0,170.0,79.0,23.0,4.0,3.0,3.0,2.0,195.0
1,ALBANY,8,8,0,2,2,9,2,1,53.632382,-113.54946399999999,100.0,69.0,22.0,4.0,29.0,45.0,50.0,417.0,40.0,46.0,16.0,445.0,10.0,56.0,63.0,30.0,9.0,14.0,13.0,3.0,350.0
2,ALBERTA AVENUE,123,119,1,26,13,156,99,2,53.568485,-113.485119,246.0,301.0,102.0,109.0,155.0,156.0,435.0,1861.0,369.0,508.0,171.0,2342.0,601.0,667.0,364.0,139.0,62.0,61.0,11.0,4.0,1138.0
3,ALDERGROVE,17,19,0,6,4,46,23,0,53.516888,-113.64124199999999,290.0,348.0,126.0,108.0,168.0,113.0,271.0,1711.0,223.0,451.0,61.0,1110.0,119.0,266.0,284.0,135.0,72.0,49.0,22.0,12.0,952.0
4,ALLARD,6,17,0,1,0,12,3,4,53.401301,-113.526641,201.0,172.0,50.0,41.0,57.0,91.0,106.0,747.0,91.0,77.0,5.0,1495.0,4.0,48.0,165.0,109.0,48.0,69.0,32.0,23.0,560.0
5,ALLENDALE,10,28,0,6,0,51,17,1,53.50227700000001,-113.504821,55.0,59.0,46.0,36.0,90.0,33.0,87.0,645.0,66.0,197.0,22.0,1403.0,66.0,112.0,123.0,59.0,30.0,33.0,11.0,9.0,815.0
6,AMBLESIDE,10,14,0,1,1,28,10,1,53.430642,-113.600677,367.0,280.0,74.0,43.0,119.0,129.0,203.0,1592.0,142.0,228.0,10.0,1250.0,67.0,196.0,284.0,168.0,124.0,164.0,71.0,66.0,1066.0
7,ARGYLL,0,7,0,0,0,10,2,1,53.503100999999994,-113.460539,28.0,20.0,11.0,18.0,14.0,5.0,30.0,221.0,17.0,91.0,3.0,319.0,18.0,25.0,33.0,17.0,22.0,10.0,3.0,3.0,204.0
8,ASPEN GARDENS,1,2,0,0,0,12,2,0,53.477535,-113.545664,61.0,137.0,72.0,57.0,82.0,52.0,131.0,503.0,55.0,259.0,11.0,230.0,32.0,69.0,100.0,44.0,45.0,63.0,28.0,32.0,217.0
9,ATHLONE,16,21,0,4,2,39,12,1,53.588026,-113.550982,90.0,147.0,74.0,76.0,100.0,65.0,175.0,954.0,112.0,280.0,34.0,1051.0,101.0,170.0,203.0,81.0,55.0,46.0,7.0,10.0,475.0
10,AVONMORE,4,24,0,0,0,39,13,0,53.50778,-113.451631,81.0,109.0,37.0,27.0,28.0,32.0,137.0,610.0,78.0,342.0,17.0,669.0,98.0,148.0,109.0,50.0,27.0,36.0,16.0,5.0,479.0
