Entity,Year,Government expenditure on primary education as % of GDP (%),Share of education in government expenditure (% of government expenditure),Total Government expenditure on education (% of GDP),Expected Years of Schooling,"Unemployment, total (% of total labor force)","Literacy rate, youth (ages 15-24), gender parity index (GPI).1","Literacy rate, adult total (% of people ages 15 and above).1"
Andorra,2009,0.834389984607697,13.4530801773071,3.14292001724243,11.67192,,,
Andorra,2013,0.791570007801056,6.19552993774414,2.50616002082825,13.138841,,,
Andorra,2014,0.683059990406036,13.3152103424072,3.07420992851257,13.495076,,,
Angola,2005,0.773810029029846,7.99235010147095,2.12011003494263,6.621961,,,
Angola,2006,0.717140018939972,7.45479011535645,2.28146004676819,7.024417,,,
Antigua and Barbuda,2009,1.06299996376038,6.92814016342163,2.50888991355896,15.03484,,,
Andorra,2002,0.460500001907349,13.3152103424072,1.65971004962921,11.03658,,,
Andorra,2004,0.448659986257553,13.3152103424072,1.54411995410919,10.79199,,,
Andorra,2005,0.386229991912842,13.3152103424072,1.64497005939484,10.82593,,,
Andorra,2006,0.521329998970032,13.3152103424072,2.24489998817444,11.18277,,,
Andorra,2007,0.531799972057343,13.3152103424072,2.10469007492065,11.18277,,,
Andorra,2010,0.885869979858398,13.3152103424072,2.97662997245789,11.67192,,,
Andorra,2011,0.910040020942688,13.3152103424072,2.98706007003784,11.67192,,,
Bangladesh,2002,0.909839987754822,15.6937999725342,2.01714992523193,8.120164,4.3200001717,1.0,46.663600922
Bangladesh,2004,0.77581000328064,15.9531202316284,1.94014000892639,8.501474,4.3200001717,1.0,46.663600922
Bangladesh,2008,0.930610001087189,17.8161907196045,2.0545699596405,8.65141,4.3200001717,1.0,46.663600922
Barbados,2005,1.54998004436493,18.2429790496826,5.66965007781982,14.825573,9.3500003815,0.99980002642,99.599998474
Barbados,2008,1.86538994312286,15.7106504440308,4.92259979248047,15.539665,9.3500003815,0.99980002642,99.599998474
Belize,2004,2.25998997688293,16.2484703063965,5.3358998298645,12.84521,8.1800003052,1.0076400042,76.90297699
Belize,2009,2.76097989082336,21.9705390930176,6.1781702041626,12.44061,8.1800003052,1.0076400042,76.90297699
Belize,2010,3.04916000366211,22.7557792663574,6.71975994110107,12.43103,8.1800003052,1.0076400042,76.90297699
Benin,2000,1.48404002189636,13.5131998062134,2.11366009712219,6.73019,1.0399999619,0.52144730091,34.657848358
Benin,2003,1.64089000225067,16.6825294494629,2.28315997123718,8.28661,1.0399999619,0.52144730091,34.657848358
Benin,2004,1.79595005512238,19.2139492034912,2.56690001487732,8.67686,1.0399999619,0.52144730091,34.657848358
